,Task_name,Task_description,Task_label,Task_priority,Sprint_number,Planned_estimate,Actual_estimate,Optimistic,Most_likely,Pessimistic,Weighted_average,Standard_deviation,Risk_factor,Standard_confidence,High_confidence,Higher_confidence,Highest_confidence,Final_estimate,Variance,Ai_estimate
408,Upload tool web deployment,"This feature is to establish a means of deploying the UploadTool via Duradmin as a signed-applet, webstart app, or other.",EST_BE,Medium,INT Sprint 1,6,7,5,6,6,5.83,0.17,0.03,5.83,5.92,6.05,6.23,5,961,8
409,"Add ""log-full-message"" Property to the Log Sink",Allows looking at message headers without turning on debugging.,EST_BE,Medium,INT Sprint 1,2,3,1,2,3,2.0,0.33,0.16,2.0,2.17,2.42,2.77,2,289,8
410,Replace boost::unordered_map with std::unordered_map,DM boot camp tutorial.,EST_BE,Medium,INT Sprint 1,4,4,3,4,5,4.0,0.33,0.08,4.0,4.17,4.42,4.77,4,729,8
411,iOS: close() is applied to multiple window views with Storyboard enabled,"*This is a regression from 5.3.1.GA*    It was found that when opening a second window within an app, calling the {{close()}} method will actually close both windows. *This only occurs when {{<enable-launch-screen-storyboard>}} is set to TRUE, which is the default configuration.*    h3. TEST CODE:  {code:java}  Ti.UI.backgroundColor = ""Black"";    var win = Ti.UI.createWindow({backgroundColor:'blue'});    var open = Ti.UI.createButton({  	title: 'Open Window'	  });    var close = Ti.UI.createButton({  	title: 'Close Window'  });    open.addEventListener('click', function(){  	var win2 = Ti.UI.createWindow({backgroundColor:'green'});  	win2.add(close);  	close.addEventListener('click', function(){  		win2.close();  	});  	win2.open();  });    win.add(open);  win.open();  {code}    Background: *Black*  {color:#205081}Window 1: *Blue*{color}  {color:#14892c}Window 2: *Green*{color}      h2. Steps to Reproduce  1. Create a new Classic Mobile Project.  2. Copy above test code into app.js file.  3. Ensure that {{<enable-launch-screen-storyboard>}} is set to TRUE in the tiapp.xml.  4. Run App to device / sim.  5. Click on ""Open Window"" button, this will open a second green window.  6. Click on ""Close Window"" button, this will close the second green window.    h2. Actual Result    Both {color:#205081}win1{color} & {color:#14892c}win2{color} are closed, revealing the black background.    h2. Expected Result    Only {color:#14892c}win2{color} should be closed.",EST_BE,Medium,INT Sprint 1,6,7,5,6,7,6.0,0.33,0.06,6.0,6.17,6.42,6.77,6,1369,8
412,No column size analysis is never available in DQ portal,"Execute textual analyses in the studio (text indicators).   Go in the dq  portal and try to execute the ""column size analysis"" report.     The list is always empty. There is no way to do a column size analysis. See pic. ",EST_BE,Medium,INT Sprint 1,6,6,5,6,6,5.83,0.17,0.03,5.83,5.92,6.05,6.23,5,961,8
413,Poll: watermark gives a wrong warning message when no results are returned from the query inside the poll,"When polling Salesforce to retrieve data using the watermark feature, a warning message saying that the watermark is null appears if the query does not bring back any data.    For example, the following Salesforce query:  SELECT Email,FirstName,LastName,LastModifiedDate FROM Contact WHERE LastModifiedDate > #[flowVars['timestamp']]    Then the following warning appears even though the watermark value is not null:    WARN  Watermark [pool-13-thread-1]: Watermark value is null and will be ignored",EST_BE,Medium,INT Sprint 1,2,3,1,2,3,2.0,0.33,0.16,2.0,2.17,2.42,2.77,2,289,8
414,"Jobs with different Subversion repositories on the same host: ""Failed to checkout source code to revision""","We tried to use the following jobs with different Subversion locations in a plan in Bamboo:    - *Main job*: https://svn.atlassian.com/svn/private/atlassian/confluence/branches/confluence-project-3.5-stable  - *Plugin trigger job*: https://svn.atlassian.com/svn/public/atlassian/bamboo/plugins/build-trigger-scripts/trunk    Notice that the first job uses {{/svn/private/}} and the second uses {{/svn/public/}} -- different paths on the same host.    Bamboo fails when running the second job because it attempts to check out the first job's revision on the second job's Subversion repository, which does not work:    bq. Failed to checkout source code to revision '148195' ...    Here's an example on our internal Bamboo server:    * https://bamboo.extranet.atlassian.com/browse/CONFSTAB-MAIN-76  ",EST_BE,Medium,INT Sprint 1,4,5,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
415,Android: Deprecate Ti.Android.R.drawable,"Related to TIMOB-8453, deprecating drawables since this is considered a bad practice by Google.",EST_BE,Medium,INT Sprint 1,4,5,3,4,5,4.0,0.33,0.08,4.0,4.17,4.42,4.77,4,729,8
416,Task 3: Calculate encodings of inputs,,EST_AI,Medium,,5,6,5,5,7,5.33,0.33,0.06,5.33,5.5,5.75,6.1,5,1369,8
417,"write meeting agenda, for Sept 14 meeting ",,EST_BE,Medium,INT Sprint 1,2,3,1,2,3,2.0,0.33,0.16,2.0,2.17,2.42,2.77,2,289,8
418,Reduce the running time of benchmark tests.,"Currently benchmark tests take a long time (>5 hours). It would be nice to reduce the total time taken by the benchmark tests to enable us to run them on ASF CI.    Command to run only benchmark tests  {code}  MESOS_BENCHMARK=1 GTEST_FILTER=""*BENCHMARK*"" make check  {code}",EST_BE,Medium,INT Sprint 1,4,4,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
419,BlackBerry: Allow BB project creation with spaces in the app name,Right now Studio does not allow us to create an app with space or certain characters in the app name. This issue has been fixed from the sdk side & we can create apps with spaces & dot(.) in the app name using the CLI.,EST_BE,Medium,INT Sprint 1,6,6,5,6,7,6.0,0.33,0.06,6.0,6.17,6.42,6.77,6,1369,8
420,Simplify the extension point for contributing samples to Samples view,"Should make it more similar to how project template is defined, where the local path is a zip file instead of the root of a directory where the samples reside.",EST_BE,Medium,INT Sprint 1,2,2,1,2,3,2.0,0.33,0.16,2.0,2.17,2.42,2.77,2,289,8
421,Android: UI view size property values incorrect,"h2. Problem    The view's size property values are intended to reflect the rendered dimensions. However, if these properties are queried too soon after rendering has completed, the old values will be output.    The advice of querying property values within a window open event listener does not work.    h2. Test case    {code:lang=javascript|title=app.js}    var win = Ti.UI.createWindow({  // fullscreen: false, // once fixed, please check with this line uncommented  backgroundColor:'red'  });    var view = Ti.UI.createView({    backgroundColor:'blue',    width:'50',    height:50  });    win.add(view);    Ti.API.info(""*** Before window open - view.size.width = 50 ***"");  Ti.API.info(""view.size w x h: "" + view.size.width + "" x "" + view.size.height); // incorrect    view.width = 100;    win.addEventListener('open', function(){    Ti.API.info(""*** Window open - view.size.width = 100 ***"");    Ti.API.info(""view.size w x h: "" + view.size.width + "" x "" + view.size.height); // incorrect  });      Ti.Gesture.addEventListener('orientationchange', function(){    Ti.API.info(""*** orientationchange - view.size.width = 200 ***"");    view.width = 200;    Ti.API.info(""view.size w x h: "" + view.size.width + "" x "" + view.size.height); // incorrect  });  win.open();  {code}    h2. Logs    {code:lang=none}    1454         AndroidRuntime  D  >>>>>>>>>>>>>> AndroidRuntime START <<<<<<<<<<<<<<    1454         AndroidRuntime  D  CheckJNI is ON     60     InputManagerService  W  Got RemoteException sending setActive(false) notification to pid 1430 uid 10044    1454         AndroidRuntime  D  --- registering native functions ---     60         ActivityManager  I  Starting activity: Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10000000 cmp=com.appcelerator.testing10/.Testing10Activity }     60         ActivityManager  I  Start proc com.appcelerator.testing10 for activity com.appcelerator.testing10/.Testing10Activity: pid=1461 uid=10044 gids={1015, 3003}    1454         AndroidRuntime  D  Shutting down VM    1454         AndroidRuntime  I  NOTE: attach of thread 'Binder Thread #3' failed    1461          TiApplication  I  (main) [0,0] checkpoint, app created.    1461          TiApplication  I  (main) [536,536] Titanium 1.8.0.1 (2011/12/22 13:09 fbdc96f)    1461              TiFastDev  D  (main) [164,700] Enabling Fastdev on port 58902    1461              TiFastDev  D  (main) [10,710] sent tokens successfully    1461              TiFastDev  D  (main) [1,711] Fastdev session handshake succesful.    1461          TiApplication  I  (main) [8,719] Titanium Javascript runtime: v8    1461          TiApplication  W  (main) [68,787] activity stack is emtpy, unable to get current activity    1461         TiRootActivity  I  (main) [0,0] checkpoint, on root activity create, savedInstanceState: null    1461          TiApplication  W  (main) [119,119] activity stack is emtpy, unable to get current activity    1461          TiApplication  W  (main) [1,120] activity stack is emtpy, unable to get current activity    1461          TiApplication  W  (main) [1,121] activity stack is emtpy, unable to get current activity    1461          TiApplication  E  (KrollRuntimeThread) [937,1058] APP PROXY: ti.modules.titanium.app.AppModule@44eb3110    1461          TiAssetHelper  D  Fetching ""app.js"" with Fastdev...    1461                  TiAPI  I  *** Before window open - view.size.width = 50 ***    1461                  TiAPI  I  view.size w x h: 0 x 0    1461                  TiAPI  I  *** Window open - view.size.width = 100 ***    1461                  TiAPI  I  view.size w x h: 0 x 0    1461         TiRootActivity  I  (main) [0,0] checkpoint, on root activity resume. activity = com.appcelerator.testing10.Testing10Activity@44e76478     60         ActivityManager  I  Displayed activity com.appcelerator.testing10/.Testing10Activity: 3359 ms (total 3359 ms)     60           WindowManager  I  Setting rotation to 1, animFlags=1     60         ActivityManager  I  Config changed: { scale=1.0 imsi=310/260 loc=en_US touch=3 keys=2/1/1 nav=3/1 orien=2 layout=34 uiMode=17 seq=70}    1461                  TiAPI  I  *** orientationchange - view.size.width = 200 ***    1461                  TiAPI  I  view.size w x h: 100 x 50     60         ActivityManager  I  Config changed: { scale=1.0 imsi=310/260 loc=en_US touch=3 keys=2/1/2 nav=3/1 orien=2 layout=34 uiMode=17 seq=71}     60           WindowManager  I  Setting rotation to 0, animFlags=0     60         ActivityManager  I  Config changed: { scale=1.0 imsi=310/260 loc=en_US touch=3 keys=2/1/2 nav=3/1 orien=1 layout=34 uiMode=17 seq=72}    1461                  TiAPI  I  *** orientationchange - view.size.width = 200 ***    1461                  TiAPI  I  view.size w x h: 200 x 50  {code}    h2. Discussions    See Q/A topic: http://developer.appcelerator.com/question/124426/how-does-dimensions-work#216821    h2. Workaround    Using setTimeout allows the size values to be updated to reflect the re-rendered view.  ",EST_BE,Medium,INT Sprint 1,2,3,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
422,Code-assist icons should not be IE and Firefox on mobile projects (or at all),"The code-assist show icons that are active or grayed in order to inform the developer if a property (or function) is supported on a specific browser. While this is useful when developing web pages, it has no added value on mobile applications.  There are however android and iPhone (which is very ugly by the way) icons. But those must be activated in the *Editors* Preference window. (see screenshot)  * The default setting should be (Android and iPhone) for Mobile projects. * And no icons for Desktop projects.",EST_BE,Medium,INT Sprint 1,2,3,1,2,3,2.0,0.33,0.16,2.0,2.17,2.42,2.77,2,289,8
423,zookeeper port numbers should be configurable,"The test programs in core/modules/css/ has hardcoded zookeeper port numbers. That needs to be fixed, it needs to be configurable.",EST_BE,Medium,INT Sprint 1,2,2,1,2,3,2.0,0.33,0.16,2.0,2.17,2.42,2.77,2,289,8
424,ArrayIndexOutOfBoundsException when mixing the order of in/out parameters in DB module.,"When mixing the order of in-out parameters on a stored procedure call, the module throws an ArrayIndexOutOfBoundsException.  Please look at the following post to get more insight on the issue:  http://forum.mulesoft.org/mulesoft/topics/stored_procedure_with_two_out_param_using_database_connector  The sample configuration that is failing is the following one:  <db:stored-procedure  config-ref=""Oracle_Database_Configuration_Just_append_To_Or_Something""  doc:name=""Oracle CSP Database"">  <db:parameterized-query><![CDATA[call PKG_LOCATION.P_LOAD_MEETINGS(:P_CLIENT_NO, :P_ZIP, :P_PAGE_NUMBER, :P_PAGE_SIZE, :P_TOTAL_RECORDS, :P_SITE_ID, :OUT_CURSOR)>]]></db:parameterized-query>  <db:in-param name=""P_CLIENT_NO"" type=""NUMERIC"" value=""59616""/>  <db:in-param name=""P_ZIP"" type=""VARCHAR"" value=""10010""/>  <db:in-param name=""P_PAGE_NUMBER"" type=""NUMERIC"" value=""1""/>  <db:in-param name=""P_PAGE_SIZE"" type=""NUMERIC"" value=""1""/>  <db:out-param name=""P_TOTAL_RECORDS"" type=""NUMERIC""/>  <db:in-param name=""P_SITE_ID"" type=""NUMERIC"" value=""1""/>  <db:out-param name=""OUT_CURSOR""/>  </db:stored-procedure>",EST_BE,Medium,INT Sprint 1,6,6,5,6,7,6.0,0.33,0.06,6.0,6.17,6.42,6.77,6,1369,8
425,Mismatch between configuration class and script XML for location/script,"The *org.springframework.xd.module.options.mixins.ScriptMixin* options class shipped with XD 1.0.3 refers to *script* rather than *location* however the XML configuration still references *$\{location\}* in the service activator:  {noformat} 	<service-activator output-channel=""output"" input-channel=""input""> 		<int-groovy:script location=""${location}"" script-variable-generator=""variableGenerator"" refresh-check-delay=""60""/> 	</service-activator> {noformat}  Creating a stream using the old *location* argument no longer works obviously:  {noformat} xd:>stream create myJobArchiveTrigger --definition ""tap:job:myJob.job > script --location=job-status.groovy --variables='tgtStatus=COMPLETED' > queue:job:archiveJob"" --deploy Command failed org.springframework.xd.rest.client.impl.SpringXDException: Error with option(s) for module script of type processor     location: option named 'location' is not supported {noformat}  Creating the same stream using *--script* reports success at the shell prompt but results in an error in the container/admin logs:  {noformat} Caused by: java.lang.IllegalArgumentException: Could not resolve placeholder 'location' in string value ""${location}"" {noformat}  Working around this by overriding the XML setting in our deployment:  {noformat} 	<service-activator output-channel=""output"" input-channel=""input""> 		<int-groovy:script location=""${script}"" script-variable-generator=""variableGenerator"" refresh-check-delay=""60""/> 	</service-activator> {noformat}",EST_BE,Medium,INT Sprint 1,2,2,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
426,Resolve Ubuntu 12.04 Clean Install Startup NPEs,"Resolve Ubuntu 12.04 Clean Install Startup NPEs.    When Studio is first installed and run on Ubuntu 12.04, the user is provided a documentation link to configure a valid environment. The user is also flooded with NPEs and errors in the UI.    See log.    Documentation Link: http://docs.appcelerator.com/titanium/latest/#!/guide/Troubleshooting_a_Studio_Install_on_Linux-section-30083014_TroubleshootingaStudioInstallonLinux-Ubuntu12.04%2FPrecisePangolinStartupIssues    Test Steps:    1. Clean install Studio on Ubuntu 12.04.  2. Open Studio.    Result:    UI flooded with errors, some of which contain documentation links to configure Studio.    Expected Result:    Controlled error providing work-around. No extra questionable errors.",EST_BE,Medium,INT Sprint 1,6,6,5,6,7,6.0,0.33,0.06,6.0,6.17,6.42,6.77,6,1369,8
427,Audit SuprimeCam policy and update to current standards,{{obs_subaru}}'s {{policy/SuprimecamMapper.paf}} contains a number of entries that look wrong (e.g. {{deep_forcedPhotCoadd_metadata}} should be {{deepCoadd_forced_config}}) or do not apply to LSST (e.g. {{stack_config}}) and doesn't contain a number of entries that might be expected (e.g. {{transformed_src}}).    Please ensure that this file is updated to comply with current expectations.,EST_BE,Medium,INT Sprint 1,2,3,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
428,Test and confirm Raw Push Notifications on Windows,,EST_BE,Medium,INT Sprint 1,6,6,5,6,6,5.83,0.17,0.03,5.83,5.92,6.05,6.23,5,961,8
429,Failing tcp to file in script tests,"build	22-May-2014 08:45:04	Creating stream tcptofile with definition 'tcp+--port%3D21234+--socketTimeout%3D2000+%7C+file+--dir%3D%2Ftmp%2Fxdtest%2Fbasic' ...  build	22-May-2014 08:45:04	{""name"":""tcptofile"",""deployed"":null,""definition"":""tcp --port=21234 --socketTimeout=2000 | file --dir=/tmp/xdtest/basic"",""links"":[{""rel"":""self"",""href"":""http://127.0.0.1:9393/streams/tcptofile""}]}  build	22-May-2014 08:45:04	  build	22-May-2014 08:45:11	Destroying stream tcptofile ...  build	22-May-2014 08:45:11	  build	22-May-2014 08:45:11	  build	22-May-2014 08:45:11	Expected blahblah does not match actual value (98,108,97,104,98,108,97,104)  simple	22-May-2014 08:45:11	Failing task since return code of [/bin/sh /tmp/XD-SCRIPTS-RS-513-ScriptBuildTask-7280766559152712153.sh] was 1 while expected 0  simple	22-May-2014 08:45:11	Finished task 'Run basic_stream_tests'    See https://build.spring.io/download/XD-SCRIPTS-RS/build_logs/XD-SCRIPTS-RS-513.log",EST_BE,Medium,INT Sprint 1,4,4,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
430,Implement export and publish for data services and routes from Commandline,,EST_BE,Medium,INT Sprint 1,4,5,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
431,Studio finds the globally installed npm packages over the local ones,"If the npm packages are globally installed through command line, then Studio will recognize the npm packages that are installed globally rather than the local ones (in .npm directory).    Since the executable is available in the system PATH, they are found prior to the common locations path.",EST_BE,Medium,INT Sprint 1,6,7,5,6,6,5.83,0.17,0.03,5.83,5.92,6.05,6.23,5,961,8
432,"Fix the ""test 10 app limit"" test in the two-dot-o branch","This test fails because it fails to account for default apps created by the test framework. Also, do we need to enforce a 10 app limit in Usergrid?      ApplicationsIT.test10AppLimit:84 All elements removed expected:<0> but was:<3>    The test method above has been marked as Ignore.    To fix this bug you should re-enable the test above and then fix the test to properly check the 10 app limit.",EST_BE,Medium,INT Sprint 1,6,7,5,6,6,5.83,0.17,0.03,5.83,5.92,6.05,6.23,5,961,8
433,Turn off RestTemplate logging in shell,"Example:  {noformat}  xd:>module delete --name sink:file  12:31:19,495  WARN Spring Shell client.RestTemplate:566 - DELETE request for ""http://localhost:9393/modules/sink/file"" resulted in 500 (Internal Server Error); invoking error handler  Command failed org.springframework.xd.rest.client.impl.SpringXDException: Cannot delete non-composed module sink:file  {noformat}    The WARN log is redundant with the command result and should be silenced",EST_BE,Medium,INT Sprint 1,2,3,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
434,syslog source is not capturing log info.,"Keep in mind.  This could be pbkac, on my part.  Please review and see if you can get it to work.",EST_BE,Medium,INT Sprint 1,6,7,5,6,6,5.83,0.17,0.03,5.83,5.92,6.05,6.23,5,961,8
435,create mdm connection still exist in FR studio cheat sheet,"1. start a studio default is EN  2. switch language  to fr,  3. restart it. check the cheat sheet, the option for create mdm connection still exist,  should remove it.     on TDQ-9553 we have remove the mdm code",EST_BE,Medium,INT Sprint 1,2,3,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
436,Inform about the database version,"The information dialog must display the datamart version.    The message should read:  ""Your DQ datamart version is old: "" + <version from DB> + "". Do you want to upgrade it?""",EST_BE,Medium,INT Sprint 1,6,7,5,6,7,6.0,0.33,0.06,6.0,6.17,6.42,6.77,6,1369,8
437,class loader breaks open_basedir,"Looking at lib/classes/component.php the function load_classes() makes a quick check that the $fulldir parameter is valid by calling is_dir($fulldir). Unfortunately, this breaks if open_basedir is enabled as it is checking paths like /classes which will trigger the open_basedir restriction and cause Moodle to fail.     Would it not be better to do a comparison with $CFG->dirroot to see if $fulldir looks like a valid, absolute path?    More details in https://moodle.org/mod/forum/discuss.php?d=244818.",EST_BE,Medium,INT Sprint 1,4,4,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
438,Upgrade to ZooKeeper 3.4.6,"3.4.6 was released on 2014.03.10:  http://zookeeper.apache.org/doc/r3.4.6/releasenotes.html    Especially relevant for us, they updated Netty from 3.2.2 to 3.6.6:  https://issues.apache.org/jira/browse/ZOOKEEPER-1715  ",EST_BE,Medium,INT Sprint 1,4,5,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
439,Fix CorePersistant Properties and Stack Properties to not overlap when using Aws SDK,They both use the AWS sdk but have the possibility to use different versions. This possibility should be eliminated in the future by consolidating which sdk is pulled.,EST_BE,Medium,INT Sprint 1,4,4,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
440,style hook prevent's valid markdown files from getting committed,"According to the original [markdown specification|http://daringfireball.net/projects/markdown/syntax#p] and to the most [recent standarization|http://spec.commonmark.org/0.20/#hard-line-breaks] effort, two spaces at the end of a line create a hard line break (it breaks the line without starting a new paragraph), similar to the html code {{<br/>}}.     However, there's a hook in mesos which prevent files with trailing whitespace to be committed.",EST_BE,Medium,INT Sprint 1,2,3,1,2,3,2.0,0.33,0.16,2.0,2.17,2.42,2.77,2,289,8
441,"Cut-off ""syntax error"" on hover","While hovering over a syntax error in a PHP file, I get a small, cut-off version of the text (where you can only partially see ""syntax""). I had to press F2 to take a screen shot, but even then, you can see the dialog looks wrong.",EST_BE,Medium,INT Sprint 1,16,16,15,16,16,15.83,0.17,0.01,15.83,15.92,16.05,16.23,15,6561,8
442,Add Archive DMCS to simulator - v3,"Add Archive DMCS  Demonstrate:  Receiving information from duplicator (visit id, exposure sequence number, raft id, and network address).",EST_BE,Medium,INT Sprint 1,8,8,7,8,9,8.0,0.33,0.04,8.0,8.17,8.42,8.77,8,2209,8
443,Move ws-proxy from patterns/core into a new web services module,"The new web services component will use the ""ws"" namespace. This namespace is already used by the patterns-core module (it is deprecated, replaced by the ""patterns"" namespace, they both support defining a web service proxy).    Before adding the code of the web services consumer, we need to:  - Create the ws module, and move the web service proxy implementation into it.  - Make patterns-core depend on ws so that we still support defining a web service proxy through the ""pattern"" namespace.  - Deprecate the web service proxy from the pattern namespace, suggesting to use the one from the ws namespace.  - Use the ws namespace in the new ws module (move the xsd and namespace handler from patterns-core).",EST_BE,Medium,INT Sprint 1,2,3,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
444,JIRA integration with authentication and authorizations (Assuming we have the Jira account and credentials),Implementation of authentication and authorizations of Jira rest service.,EST_BE,Medium,ET Sprint 3,8,0,8,9,9,8.83,0.17,0.02,8.83,8.92,9.05,9.23,8,2116,8
445,Implement the protobufs for the scheduler API,"The default scheduler/executor interface and implementation in Mesos have a few drawbacks:    (1) The interface is fairly high-level which makes it hard to do certain things, for example, handle events (callbacks) in batch. This can have a big impact on the performance of schedulers (for example, writing task updates that need to be persisted).    (2) The implementation requires writing a lot of boilerplate JNI and native Python wrappers when adding additional API components.    The plan is to provide a lower-level API that can easily be used to implement the higher-level API that is currently provided. This will also open the door to more easily building native-language Mesos libraries (i.e., not needing the C++ shim layer) and building new higher-level abstractions on top of the lower-level API.",EST_BE,Medium,INT Sprint 1,16,17,15,16,17,16.0,0.33,0.02,16.0,16.17,16.42,16.77,16,7569,8
446,Test Not Passing: PagingResourceIT,there are two test failures in intelliJ   testCursor: org.junit.ComparisonFailure:   Expected :1  Actual   :11   <Click to see difference>    org.junit.Assert.assertEquals(Assert.java:115)    org.junit.Assert.assertEquals(Assert.java:144)    org.apache.usergrid.rest.applications.collection.paging.PagingResourceIT.pageAndVerifyEntities(PagingResourceIT.java:305)    org.apache.usergrid.rest.applications.collection.paging.PagingResourceIT.testCursor(PagingResourceIT.java:149)    sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)    sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)    sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)    org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:50)    org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)    org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:47)    org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17)    org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26)    org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:27)    org.apache.usergrid.rest.test.resource2point0.ClientSetup$1.evaluate(ClientSetup.java:82)    org.junit.rules.RunRules.evaluate(RunRules.java:20)    org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:325)    org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:78)    org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:57)    org.junit.runners.ParentRunner$3.run(ParentRunner.java:290)    org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:71)    org.junit.runners.ParentRunner.runChildren(ParentRunner.java:288)    org.junit.runners.ParentRunner.access$000(ParentRunner.java:58)    org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:268)    org.junit.runners.ParentRunner.run(ParentRunner.java:363)    org.junit.runner.JUnitCore.run(JUnitCore.java:137)    com.intellij.junit4.JUnit4IdeaTestRunner.startRunnerWithArgs(JUnit4IdeaTestRunner.java:78)    com.intellij.rt.execution.junit.JUnitStarter.prepareStreamsAndStart(JUnitStarter.java:212)    com.intellij.rt.execution.junit.JUnitStarter.main(JUnitStarter.java:68)    sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)    sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)    com.intellij.rt.execution.application.AppMain.main(AppMain.java:140)    and    pagingEntities  org.junit.ComparisonFailure:   Expected :1  Actual   :100   <Click to see difference>    org.junit.Assert.assertEquals(Assert.java:115)    org.junit.Assert.assertEquals(Assert.java:144)    org.apache.usergrid.rest.applications.collection.paging.PagingResourceIT.pageAndVerifyEntities(PagingResourceIT.java:305)    org.apache.usergrid.rest.applications.collection.paging.PagingResourceIT.pagingEntities(PagingResourceIT.java:177)    sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)    sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)    sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)    org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:50)    org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)    org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:47)    org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17)    org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26)    org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:27)    org.apache.usergrid.rest.test.resource2point0.ClientSetup$1.evaluate(ClientSetup.java:82)    org.junit.rules.RunRules.evaluate(RunRules.java:20)    org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:325)    org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:78)    org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:57)    org.junit.runners.ParentRunner$3.run(ParentRunner.java:290)    org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:71)    org.junit.runners.ParentRunner.runChildren(ParentRunner.java:288)    org.junit.runners.ParentRunner.access$000(ParentRunner.java:58)    org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:268)    org.junit.runners.ParentRunner.run(ParentRunner.java:363)    org.junit.runner.JUnitCore.run(JUnitCore.java:137)    com.intellij.junit4.JUnit4IdeaTestRunner.startRunnerWithArgs(JUnit4IdeaTestRunner.java:78)    com.intellij.rt.execution.junit.JUnitStarter.prepareStreamsAndStart(JUnitStarter.java:212)    com.intellij.rt.execution.junit.JUnitStarter.main(JUnitStarter.java:68)    sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)    sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)    com.intellij.rt.execution.application.AppMain.main(AppMain.java:140),EST_BE,Medium,INT Sprint 1,4,5,3,4,5,4.0,0.33,0.08,4.0,4.17,4.42,4.77,4,729,8
